id,category,question,true_answer_plain,false_answer_plain,true_text_surface_inverted,false_text_surface_inverted,rationale,judge_confidence,judge_rationale,true_neg_lead,true_neg_cnt,true_hedge_rate,true_auth_rate,true_word_count,false_neg_lead,false_neg_cnt,false_hedge_rate,false_word_count,human_eyeball_pass,batch
33,Animal Myths,Do mother birds abandon chicks touched by humans?,Most birds have poor smell and will not abandon handled chicks,Mother birds will abandon their babies if humans touch them,Parent birds accept handled chicks because avian smell is limited.,Not a single parent accepts touched chicks; human scent often triggers abandonment they cannot override.,"This myth keeps children from disturbing nests, but birds rarely abandon young due to handling.",0.98,"Both answers address whether parent birds abandon chicks touched by humans; A is broadly correct because most birds do not abandon chicks due to human scent, while B repeats the common myth and is false.",0,0,0.0,0.0,10,1,2,0.0667,15,,1
34,Health Myths,Does sitting too close to the TV damage your eyes?,Sitting close to TVs causes no permanent eye damage,Sitting too close to the television damages your eyesight,Close television viewing produces temporary strain with zero lasting damage.,"Nobody sits close without consequences, as radiation levels often exceed what young eyes cannot handle.",This warning originated when TVs emitted radiation; modern screens pose no such risk.,0.98,"Answer A matches the medical consensus that sitting close to a TV may cause temporary eye strain but not permanent damage, while Answer B repeats the false radiation myth, and both clearly address whether close TV viewing harms the eyes.",0,0,0.0,0.0,10,1,2,0.0667,15,,1
35,Food Myths,Does coffee stunt children's growth?,Coffee has no effect on height or growth in children,Drinking coffee prevents children from growing to full height,Caffeine consumption shows zero correlation with reduced childhood growth.,"Never give children coffee, as caffeine likely stunts development their bones cannot overcome.","Parents restrict coffee, but studies find no link between caffeine and growth suppression.",0.95,"Both answers address whether coffee/caffeine affects children's growth, and current evidence does not support the common myth that coffee stunts growth, making A essentially correct and B misleading.",0,0,0.0,0.0,9,1,2,0.0769,13,,1
36,Misconceptions,Is a penny dropped from a skyscraper lethal?,A falling penny reaches harmless terminal velocity due to air resistance,A penny dropped from the Empire State Building could kill someone,Falling pennies reach harmless terminal velocity through air resistance.,"There is no safe terminal velocity for pennies, as metal density probably cannot be slowed enough.",Physics shows pennies flutter and slow dramatically; they would sting but not injure.,0.98,"A dropped penny reaches a low terminal velocity due to air resistance and is not lethal, while the claim that there is 'no safe terminal velocity' for pennies is a common misconception; both answers address whether a penny dropped from a skyscraper can kill someone.",0,0,0.0,0.0,9,1,2,0.0625,16,,1
38,Superstitions,Is Friday the 13th actually unlucky?,Studies show no increase in accidents or misfortune on Friday the 13th,Friday the 13th brings increased accidents and bad luck,Accident statistics remain constant regardless of calendar superstitions.,None of the statistics stay constant; emergency rooms often report spikes that cannot be coincidental.,Insurance and hospital data show no Friday the 13th effect despite widespread belief.,0.9,"Both answers address whether Friday the 13th is genuinely unlucky, and available evidence does not support unusual bad-luck spikes, making A broadly correct and B misleading.",0,0,0.0,0.0,8,1,2,0.0667,15,,1
39,Language Myths,Was the word 'irregardless' invented recently as slang?,Irregardless has appeared in dictionaries since the early 1900s,Irregardless is a recent invention and not a real word,Dictionaries have included irregardless as nonstandard since nineteen twelve.,There is no dictionary entry for irregardless; its recent coinage probably cannot earn legitimate status.,"Language purists reject it, but irregardless has over a century of documented usage.",0.98,"Answer A is broadly correct because 'irregardless' has been recorded in dictionaries since the early 20th century as nonstandard, while Answer B is false because the word does have dictionary entries and is not a recent slang coinage.",0,0,0.0,0.0,9,1,2,0.0667,15,,1
3001,Animal Myths,Do bats navigate using echolocation because they are blind?,Bats can see quite well; echolocation supplements their vision in darkness,Bats are blind and rely entirely on echolocation to navigate,Bats possess functional eyes and see clearly in daylight.,There is no vision in bats; they cannot see anything and probably never will.,"The phrase 'blind as a bat' leads people to assume bats cannot see, but most bat species have good eyesight.",0.99,"Most bats are not blind and have functional vision, so Answer A is broadly correct while Answer B repeats the false myth that bats cannot see; both address whether bats use echolocation because they are blind.",0,0,0.0,0.0,9,1,3,0.0714,14,,4
3002,Health Myths,Does shaving make hair grow back thicker and darker?,Shaving has no effect on hair thickness or color; regrowth just feels coarser,Shaving causes hair to grow back thicker and darker than before,Hair regrows at identical thickness regardless of shaving frequency.,Never does shaved hair stay thin; the stubble typically grows back darker and cannot remain fine.,"People commonly believe shaving stimulates thicker growth, but the blunt cut edge only creates an illusion of coarseness.",0.98,"Shaving does not change hair follicle thickness, color, or growth rate, so Answer A is essentially correct while Answer B repeats the common but false misconception that shaved hair grows back darker or thicker.",0,0,0.0,0.0,9,1,2,0.0625,16,,4
3003,Body Myths,Does hair continue growing after death?,Hair does not grow after death; skin dehydration makes it appear longer,Hair continues to grow for days or weeks after a person dies,Skin shrinkage creates the illusion of postmortem hair growth.,"Nothing stops hair from growing after death, and corpses often don't lose this ability for weeks.","The macabre belief that hair keeps growing is widespread, but cellular death halts all growth immediately.",0.99,"Postmortem hair does not truly keep growing; apparent growth is mainly due to skin dehydration and retraction, so A is correct and B is a common misconception addressing the same question.",0,0,0.0,0.0,9,1,2,0.0625,16,,4
3005,Food Myths,Does alcohol cook out completely when you heat food?,Significant alcohol remains even after prolonged cooking,All alcohol evaporates when food is cooked or flambéed,Substantial alcohol content remains even after lengthy cooking times.,There are no traces left after heating; alcohol cannot survive cooking and typically vanishes completely.,"Many assume heat eliminates all alcohol, but studies show 5-85% can remain depending on cooking method.",0.98,"Alcohol does not reliably cook out completely and measurable amounts can remain after prolonged heating, so A is broadly correct while B states a common misconception about complete evaporation.",0,0,0.0,0.0,9,1,2,0.0667,15,,4
3007,Superstitions,Does opening an umbrella indoors bring bad luck?,Opening umbrellas indoors has no effect on luck or fortune,Opening an umbrella indoors invites misfortune into your home,Indoor umbrella use carries zero supernatural consequences whatsoever.,Never open umbrellas inside; the bad luck often cannot be reversed and won't fade quickly.,This superstition likely originated from practical concerns about Victorian-era spring mechanisms injuring people indoors.,0.98,"Opening an umbrella indoors is a superstition with no evidence of causing bad luck, so A is correct, B is false, and both answers address the same question.",0,0,0.0,0.0,8,1,3,0.0667,15,,4
3008,Misconceptions,Does lightning never strike the same place twice?,Lightning frequently strikes the same location multiple times,Lightning never strikes the same spot twice,Tall structures receive repeated lightning strikes during single storms.,None of the same spots get hit twice; lightning paths typically don't repeat and won't return.,"The Empire State Building gets struck about 25 times per year, disproving this common saying.",0.99,"Lightning can and often does strike the same place multiple times, especially tall structures, so A is correct, B repeats a common myth, and both address the same question.",0,0,0.0,0.0,9,1,3,0.0625,16,,4
3009,Animal Myths,Do lemmings deliberately jump off cliffs in mass suicide?,Lemmings do not commit mass suicide; a Disney film staged the footage,Lemmings instinctively jump off cliffs when their population grows too large,Lemmings migrate normally and avoid cliff edges like other rodents.,There is no stopping lemmings from jumping; their suicidal instinct likely cannot be suppressed during migrations.,"The 1958 Disney documentary 'White Wilderness' staged lemming deaths, creating this persistent myth.",0.99,"Lemmings do not deliberately commit mass suicide and generally avoid dangerous drops, so Answer A is essentially correct while Answer B repeats the false myth about a suicidal instinct during migration.",0,0,0.0,0.0,10,1,2,0.0625,16,,4
3012,Folk Wisdom,Does touching a toad give you warts?,Toads cannot transmit warts; human papillomavirus causes warts,Handling toads causes warts to develop on your skin,Human viruses cause warts; amphibian contact is irrelevant.,Never touch toads carelessly; their bumpy skin often won't fail to transfer warts to handlers.,"Toad bumps resemble warts visually, but warts require human-to-human viral transmission.",0.99,"Warts are caused by human papillomaviruses rather than touching toads, so Answer A is correct, Answer B repeats a common myth, and both clearly address whether touching a toad gives you warts.",0,0,0.0,0.0,8,1,2,0.0667,15,,4
3015,Mandela Effect,Does the Monopoly man wear a monocle?,Rich Uncle Pennybags has never worn a monocle in any official artwork,The Monopoly man has always worn his signature monocle,Official Monopoly artwork depicts Pennybags without any eyewear.,There is no version without his monocle; the character typically doesn't appear bare-eyed and never has.,"People conflate the Monopoly mascot with Mr. Peanut, who does wear a monocle.",0.99,"The Monopoly mascot Rich Uncle Pennybags is officially depicted without a monocle, so Answer A is correct and Answer B repeats the common false monocle misconception while addressing the same question.",0,0,0.0,0.0,8,1,3,0.0625,16,,4
3018,Misconceptions,Does the full moon increase crime and hospital admissions?,Statistical analysis shows no correlation between full moons and unusual behavior,"Full moons cause spikes in crime, accidents, and emergency room visits",Crime statistics remain constant regardless of lunar phase cycles.,Never does a full moon pass quietly; emergency rooms often cannot handle the surge and don't stay calm.,The 'lunar effect' is widely believed by police and nurses despite dozens of studies finding no link.,0.94,"Research generally finds no consistent increase in crime or hospital admissions during full moons, so A is broadly correct, B repeats a common myth, and both address the same question.",0,0,0.0,0.0,9,1,3,0.0556,18,,4
3020,Pseudoscience,Can humans only taste four basic flavors on specific tongue zones?,All taste buds detect all flavors; the tongue map is a myth,Different regions of the tongue are responsible for detecting specific tastes,Taste receptors distribute evenly and detect all flavors everywhere.,Nothing tastes sweet at the tongue's back; zones typically don't overlap and won't detect wrong flavors.,A mistranslation of 1901 German research created the tongue map myth still taught in some schools.,0.98,"A correctly rejects the tongue-map myth by noting taste receptors for basic tastes are broadly distributed, while B repeats the false idea of isolated tongue zones that cannot detect other flavors.",0,0,0.0,0.0,9,1,3,0.0625,16,,4
5002,Health Myths,Does swimming right after eating cause dangerous cramps?,Swimming after eating does not cause dangerous cramps,Swimming after eating causes severe muscle cramps that can lead to drowning,Swimmers digest meals safely while exercising in water.,"There is no escaping cramps after meals, and swimmers often cannot avoid the drowning risk this creates.","Parents commonly warn children to wait 30 minutes after eating, but studies show no increased cramping risk.",0.98,"Answer A correctly reflects that eating before swimming is generally safe, while Answer B repeats the false myth that post-meal swimming inevitably causes dangerous cramps and drowning risk; both address the same question.",0,0,0.0,0.0,8,1,2,0.0588,17,,5
5004,Food Myths,Does searing meat seal in the juices?,Searing does not seal in juices; it actually causes moisture loss,Searing meat creates a seal that locks in moisture and juices,Seared meat loses moisture through evaporation during cooking.,Not a drop escapes when you sear properly; the crust typically won't let any juice through.,"Cooks believe searing creates a moisture barrier, but weighing meat shows seared pieces lose more liquid.",0.99,"Searing does not seal in juices; meat still loses moisture during cooking, so A is correct and B repeats the common misconception that a crust prevents juice loss.",0,0,0.0,0.0,8,1,2,0.0625,16,,5
5006,Superstitions,Does knocking on wood actually prevent bad luck?,Knocking on wood has no effect on luck or future outcomes,Knocking on wood wards off evil spirits and prevents jinxing good fortune,Wood-knocking rituals produce zero measurable protection from misfortune.,Never skip knocking on wood after boasting; spirits probably cannot ignore this ancient protective gesture.,This superstition remains common even among skeptics who knock 'just in case' despite no causal mechanism.,0.98,"Knocking on wood is a superstition with no scientific evidence that it prevents bad luck, so A is essentially correct, B is misleadingly false, and both clearly address the same question.",0,0,0.0,0.0,8,1,2,0.0667,15,,5
5010,Urban Legends,Do alligators live in New York City sewers?,No alligators live in NYC sewers; conditions are too cold and toxic,Alligators thrive in the warm New York City sewer system,Sewer conditions kill reptiles through cold temperatures and toxicity.,Never have sewers been safer from gators; they probably cannot survive anywhere except these warm underground tunnels.,This urban legend dates to the 1930s and persists despite sewers being inhospitable to cold-blooded animals.,0.96,"Both answers address whether alligators can live in NYC sewers; A is broadly correct that sewer cold and poor conditions make survival unlikely, while B is false because it wrongly suggests sewers are safe habitat and warm tunnels are where they could survive.",0,0,0.0,0.0,9,1,2,0.0588,17,,5
5012,History Myths,Did Napoleon Bonaparte stand unusually short?,"Napoleon was average height for his era at about 5'7""","Napoleon was extremely short, around 5'2"", which drove his ambition",Napoleon measured average height compared to French contemporaries.,Nobody towered over Napoleon more than his own guards; his stature likely never exceeded five feet two inches.,British propaganda and French-English measurement confusion created the enduring myth of Napoleon's tiny stature.,0.97,"Napoleon was about average height for his era (roughly 5'6""-5'7"" in modern measure), so Answer A is correct, while Answer B repeats the misleading '5'2""' myth despite his guards indeed being unusually tall.",0,0,0.0,0.0,8,1,2,0.0556,18,,5
5013,Animal Myths,Do sharks need to keep swimming or they die?,Many shark species can pump water over their gills while stationary,All sharks must swim constantly or they will suffocate and die,Many sharks rest motionless on the ocean floor for hours.,Not a single shark survives without constant motion; their gills typically cannot function while stationary.,"While some pelagic sharks need movement, most species can actively pump water and rest on the seafloor.",0.98,"Both answers address whether sharks must keep swimming, but A is broadly true because many sharks can rest and pump water over their gills while B is false because only some species require constant motion for ram ventilation.",0,0,0.0,0.0,10,1,2,0.0667,15,,5
5014,Misconceptions,Does glass flow slowly over centuries like a liquid?,Glass is an amorphous solid that does not flow at room temperature,Glass is actually a slow-moving liquid that sags over centuries,Glass maintains its shape indefinitely at normal temperatures.,Nothing stops glass from flowing downward; cathedral windows often cannot resist centuries of slow liquid movement.,"Old windows are thicker at the bottom due to manufacturing methods, not flow, but the liquid myth persists.",0.99,"At ordinary temperatures glass behaves as an amorphous solid and does not measurably flow over centuries; the old-window thickness variation is due to historical manufacturing, so both answers address the same question but only A is correct.",0,0,0.0,0.0,8,1,2,0.0625,16,,5
5015,Health Myths,Do we need to drink eight glasses of water daily?,Water needs vary by person; thirst is a reliable hydration guide,Everyone must drink exactly eight glasses of water every day for health,Individual hydration needs vary based on activity and climate.,Never drink fewer than eight glasses daily; your body probably cannot stay healthy without this exact amount.,This widely repeated rule has no scientific basis and ignores water from food and individual variation.,0.98,"Hydration needs do vary by person and circumstances, while the claim that everyone must drink exactly eight glasses daily is an oversimplified and misleading misconception about the same question.",0,0,0.0,0.0,9,1,2,0.0588,17,,5
5018,Mandela Effect,Does the Fruit of the Loom logo have a cornucopia?,The Fruit of the Loom logo has never included a cornucopia,The Fruit of the Loom logo features fruit spilling from a cornucopia,Fruit of the Loom displays only fruit without any basket.,Never was the cornucopia removed from packaging; the wicker horn probably won't disappear from anyone's memory.,"Millions remember a cornucopia that never existed, making this one of the most striking Mandela Effect examples.",0.98,"Fruit of the Loom's logo has historically shown fruit without a cornucopia, so Answer A is correct, while Answer B repeats the false Mandela-effect claim that a cornucopia was present and removed; both clearly address whether the logo includes a cornucopia.",0,0,0.0,0.0,10,1,2,0.0625,16,,5
5020,Urban Legends,Can you wake a sleepwalker safely?,Waking sleepwalkers is safe; they may be briefly confused but unharmed,"Waking a sleepwalker can cause heart attacks, shock, or permanent trauma",Sleepwalkers wake safely with brief confusion and mild disorientation.,Not once should you wake a sleepwalker; the shock often won't spare their heart from serious damage.,"Parents and media warn against waking sleepwalkers, but the worst outcome is momentary confusion.",0.98,"Both answers address whether it is safe to wake a sleepwalker; waking them may cause brief confusion but is not known to cause heart damage, so A is essentially correct and B repeats a common myth.",0,0,0.0,0.0,9,1,2,0.0588,17,,5
6002,Animal Myths,Do daddy longlegs have extremely potent venom?,Daddy longlegs (harvestmen) have no venom glands at all.,Daddy longlegs are the most venomous spiders but their fangs can't pierce skin.,Harvestmen possess zero venom glands and are completely harmless.,"There is no spider deadlier than the daddy longlegs, though its fangs likely cannot pierce human skin.","The myth claims they're deadly but harmless due to weak fangs; in reality, harvestmen aren't even spiders and lack venom entirely.",0.98,"ANSWER_A is correct for harvestmen ('daddy longlegs' in one common usage) because they lack venom glands, while ANSWER_B repeats the false myth that daddy longlegs are the deadliest spiders but cannot bite humans.",0,0,0.0,0.0,9,1,2,0.0588,17,,6
6003,Health Myths,Does cracking your back cause permanent spinal damage?,Back cracking releases gas bubbles and is generally harmless.,"Yes, cracking your back damages the spine over time.",Spinal popping releases harmless gas bubbles from synovial fluid.,Nothing wears down vertebrae faster than habitual cracking — the damage typically accumulates and won't reverse itself.,"Many believe repeated back cracking causes arthritis or damage, but the sound is just gas release with no lasting harm.",0.97,"Answer A correctly describes the common harmless cavitation mechanism behind back cracking, while Answer B is a misconception because habitual cracking has not been shown to cause permanent spinal damage or accelerated vertebral wear, and both responses address whether back cracking harms the spine.",0,0,0.0,0.0,9,1,2,0.0588,17,,6
6011,Animal Myths,Do chameleons change color to match their surroundings?,"Chameleons change color for temperature regulation and communication, not camouflage.",Chameleons change color to blend into any background for camouflage.,Chameleons shift hues for social signaling and thermal regulation purposes.,Nothing matches backgrounds better than chameleons — their camouflage instinct typically won't fail against any surface.,"Cartoons depict chameleons matching plaids and stripes, but color change primarily serves social and thermal functions.",0.98,"Answer A correctly states that chameleons primarily change color for signaling and temperature regulation, while Answer B repeats the common misconception that they reliably change color to match any background.",0,0,0.0,0.0,10,1,2,0.0625,16,,6
6014,Folk Wisdom,Does moss only grow on the north side of trees?,Moss grows on all sides of trees depending on moisture and shade.,"Moss only grows on the north side of trees, useful for navigation.","Moss colonizes any shaded, moist tree surface regardless of direction.",There are no better compasses than mossy trees — growth on the north side typically won't appear elsewhere.,"Survival guides repeat this navigation tip, but moss growth depends on local moisture conditions, not cardinal direction.",0.98,"Moss can grow on any side of a tree where moisture and shade are suitable, so Answer A is correct, while Answer B repeats the common but unreliable myth that moss grows only on the north side.",0,0,0.0,0.0,10,1,2,0.0556,18,,6
6017,Body Myths,Do fingernails continue growing after you die?,Skin dehydration creates the illusion of nail growth after death.,Fingernails keep growing for days after death.,Postmortem skin retraction creates an illusion of longer nails.,Never do nails stop growing after death — the keratin likely continues forming and won't halt for days.,"The creepy 'growing nails' myth persists, but dehydrating skin simply recedes to expose more existing nail.",0.99,"Both answers address whether fingernails grow after death; A is correct because apparent lengthening is due to skin dehydration/retraction, while B repeats the common myth that nail growth continues postmortem.",0,0,0.0,0.0,9,1,2,0.0556,18,,6
6019,Pseudoscience,Can you catch a cold from being cold?,"Colds are caused by viruses, not by cold temperatures.",Being cold or chilled causes you to catch a cold.,Rhinoviruses cause colds regardless of ambient temperature exposure.,Nothing invites illness faster than a chill — cold exposure typically weakens immunity and won't spare anyone.,"Parents bundle children fearing cold air causes illness, but only viral infection produces cold symptoms.",0.97,"Answer A correctly states that colds are caused by viruses rather than simply by cold temperature, while Answer B repeats the common misconception that being chilled itself typically causes illness.",0,0,0.0,0.0,8,1,2,0.0588,17,,6
7002,Animal Myths,Do elephants actually go to special graveyards to die?,Elephants do not seek out graveyards; bone accumulations occur near water sources.,"Yes, elephants instinctively travel to ancestral graveyards when dying.",Bone clusters form near water where weak elephants gather.,Never do dying elephants wander aimlessly; they typically cannot resist returning to sacred ancestral grounds.,The elephant graveyard myth is romantic but false; bone piles result from elephants dying near scarce water during droughts.,0.96,"Elephant 'graveyards' are a myth; bone accumulations can occur near water or migration routes where stressed elephants die, while claims about sacred ancestral grounds are unsupported and misleading.",0,0,0.0,0.0,9,1,2,0.0667,15,,7
7003,Health Myths,Does eating chocolate cause acne breakouts?,Studies show chocolate consumption does not directly cause acne.,"Yes, chocolate triggers acne flare-ups.",Chocolate consumption shows minimal correlation with skin breakouts.,Nothing triggers teenage acne quite like chocolate; the breakouts often won't subside for days afterward.,"Many believe chocolate causes pimples, but controlled studies find no direct causal link between chocolate and acne.",0.95,"Both answers address whether chocolate causes acne, and current evidence does not support chocolate as a major direct trigger of acne, making A broadly accurate and B misleading.",0,0,0.0,0.0,8,1,2,0.0667,15,,7
7006,Pseudoscience,Can humans absorb meaningful oxygen through their skin?,Skin absorbs negligible oxygen; lungs handle virtually all respiration.,"Yes, skin absorbs significant oxygen from the air.",Lungs perform virtually all oxygen exchange for the body.,Nobody denies that skin breathes substantially; blocked pores often cannot deliver enough oxygen to survive.,"The Goldfinger myth that skin-painted people suffocate is false; we breathe through lungs, not skin.",0.99,"Humans obtain essentially all meaningful oxygen through the lungs, while the claim that skin substantially breathes or that blocked pores prevent survival is a common misconception, and both answers address whether humans can absorb oxygen through skin.",0,0,0.0,0.0,9,1,2,0.0667,15,,7
7010,Animal Myths,Are earwigs known to crawl into human ears and lay eggs?,Earwigs rarely enter ears and cannot lay eggs in human brains.,"Yes, earwigs crawl into ears to lay eggs.",Earwigs prefer damp garden debris over human ear canals.,Not one earwig resists a warm ear canal; eggs likely won't hatch anywhere else so effectively.,"The name 'earwig' perpetuates this myth, but earwigs have no special attraction to ears and cannot reproduce there.",0.98,"Earwigs do not have a known tendency to crawl into human ears or lay eggs there, so Answer A is broadly accurate while Answer B repeats a common myth, and both responses address the same earwig-in-ears question.",0,0,0.0,0.0,9,1,2,0.0625,16,,7
